;January;February;March;April;May;June;July;August;September;October;November;December;Total
Mediterranean;370;55;324;630;1,133;389;226;53;368;101;;;3,649
Europe;6;4;7;1;2;2;4;2;10;5;;;43
Middle East;23;5;7;13;9;13;-;-;14;;;;95
North Africa;38;112;57;35;137;47;9;-;;;;;435
Horn of Africa;37;21;11;4;4;3;-;-;;;;;80
Sub-Saharan Africa;14;-;8;-;7;19;-;3;;;;;51
East Asia;-;-;-;-;-;-;3;-;;;;;3
Southeast Asia;35;-;-;-;-;-;26;-;;;;;61
US-Mexico Border;12;9;19;13;19;45;42;37;30;2;;;293
Central America;8;5;14;5;11;4;12;27;7;6;;;99
Caribbean;1;1;9;-;-;1;18;-;20;1;;;51
South America;9;1;-;-;-;-;-;4;3;;;;24
Total;553;213;456;701;1,322;523;340;126;452;115;;;4,884
